Feature-Set;NSHAP-Value
diabetes,cerebrovascular.disease,endstage.renal.disease;-0.0000
diabetes,cerebrovascular.disease,chronic.kidney.disease;0.0005
diabetes,cerebrovascular.disease,asthma;0.0001
diabetes,cerebrovascular.disease,copd;0.0001
diabetes,cerebrovascular.disease,dementia;0.0004
diabetes,cerebrovascular.disease,cancer;0.0001
diabetes,hepatitis,endstage.renal.disease;0.0001
diabetes,hepatitis,chronic.kidney.disease;0.0000
diabetes,hepatitis,asthma;0.0001
diabetes,hepatitis,copd;-0.0000
diabetes,hepatitis,dementia;0.0002
diabetes,hepatitis,cancer;-0.0000
diabetes,endstage.renal.disease,chronic.kidney.disease;0.0009
diabetes,endstage.renal.disease,asthma;-0.0003
diabetes,endstage.renal.disease,copd;0.0001
diabetes,endstage.renal.disease,dementia;0.0002
diabetes,endstage.renal.disease,cancer;-0.0000
diabetes,chronic.kidney.disease,asthma;0.0006
diabetes,chronic.kidney.disease,copd;0.0003
diabetes,chronic.kidney.disease,dementia;-0.0003
diabetes,chronic.kidney.disease,cancer;0.0001
diabetes,asthma,copd;0.0005
diabetes,asthma,dementia;0.0001
diabetes,asthma,cancer;0.0002
diabetes,copd,dementia;0.0001
diabetes,copd,cancer;0.0001
diabetes,dementia,cancer;0.0000
coronary.artery.disease,chf,cerebrovascular.disease;0.0009
coronary.artery.disease,chf,hepatitis;0.0001
coronary.artery.disease,chf,endstage.renal.disease;0.0009
coronary.artery.disease,chf,chronic.kidney.disease;0.0031
coronary.artery.disease,chf,asthma;0.0004
coronary.artery.disease,chf,copd;0.0015
coronary.artery.disease,chf,dementia;-0.0014
coronary.artery.disease,chf,cancer;0.0010
coronary.artery.disease,cerebrovascular.disease,hepatitis;-0.0000
coronary.artery.disease,cerebrovascular.disease,endstage.renal.disease;-0.0001
coronary.artery.disease,cerebrovascular.disease,chronic.kidney.disease;0.0005
coronary.artery.disease,cerebrovascular.disease,asthma;-0.0001
coronary.artery.disease,cerebrovascular.disease,copd;0.0002
coronary.artery.disease,cerebrovascular.disease,dementia;0.0006
coronary.artery.disease,cerebrovascular.disease,cancer;-0.0000
coronary.artery.disease,hepatitis,endstage.renal.disease;-0.0000
coronary.artery.disease,hepatitis,chronic.kidney.disease;0.0001
coronary.artery.disease,hepatitis,asthma;-0.0000
coronary.artery.disease,hepatitis,copd;-0.0000
coronary.artery.disease,hepatitis,dementia;0.0000
coronary.artery.disease,hepatitis,cancer;-0.0000
coronary.artery.disease,endstage.renal.disease,chronic.kidney.disease;0.0004
coronary.artery.disease,endstage.renal.disease,asthma;0.0001
coronary.artery.disease,endstage.renal.disease,copd;0.0001
coronary.artery.disease,endstage.renal.disease,dementia;0.0003
coronary.artery.disease,endstage.renal.disease,cancer;0.0001
coronary.artery.disease,chronic.kidney.disease,asthma;0.0007
coronary.artery.disease,chronic.kidney.disease,copd;0.0005
coronary.artery.disease,chronic.kidney.disease,dementia;0.0006
